,JobTitle,Company,Location,PostedDate,Today,Salary,JobURL
0,Data Analyst  ,Myanmar Net,Yangon,08 Mar 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/data-analyst-yangon-myanmar-net/68060
1,Data Analyst  ,Hana Microfinance Ltd,Yangon,07 Mar 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/data-analyst-yangon-hana-microfinance-ltd/63355
2,Business Intelligence Data Analyst  ,AGD Bank,Yangon,28 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/business-intelligence-data-analyst-yangon-agd-bank/67911
3,Data Analyst Executive  ,Grand Wynn Group company,Yangon,09 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/data-analyst-executive-yangon-grand-wynn-group-company/67243
4,Technical Business Analyst  ,ONOW Myanmar Co Ltd,Yangon,07 Apr 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/technical-business-analyst-yangon-onow-myanmar-co-ltd/68764
5,System Analyst  ,Dai-ichi Life Insurance Myanmar Ltd.,Yangon.,04 Apr 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/system-analyst-yangon-dai-ichi-life-insurance-myanmar-ltd/68647
6,Senior System Analyst  ,Dai-ichi Life Insurance Myanmar Ltd.,Yangon.,04 Apr 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/senior-system-analyst-yangon-dai-ichi-life-insurance-myanmar-ltd/68645
7,Jr. Business Analyst  ,Dai-ichi Life Insurance Myanmar Ltd.,Yangon.,04 Apr 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/jr-business-analyst-yangon-dai-ichi-life-insurance-myanmar-ltd/68644
8,Database Administrator  ,GRAND GUARDIAN NIPPON LIFE INSURANCE,Yangon,14 Mar 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/database-administrator-yangon-grand-guardian-nippon-life-insurance/62598
9,Senior Analyst  ,Exera Myanmar,Yangon,03 Mar 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/senior-analyst-yangon-exera-myanmar/66459
10,Mobile And Internet Banking Developers  ,Myanmar Citizens Bank (MCB),Yangon,28 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/mobile-and-internet-banking-developers-yangon-myanmar-citizens-bank-mcb/67922
11,Data Migration Expert  ,"Blue Stone Solution Co.,Ltd.",Yangon,28 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/data-migration-expert-yangon-blue-stone-solution-co-ltd/67885
12,Security Analyst  ,ONOW Myanmar Co Ltd,Yangon,22 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/security-analyst-yangon-onow-myanmar-co-ltd/67683
13,Quality Assurance Manager  ,KBZ Bank,Yangon,21 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/quality-assurance-manager-yangon-kbz-bank/67603
14,Senior Test Analyst  ,KBZ Bank,Yangon,17 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/senior-test-analyst-yangon-kbz-bank/64916
15,Junior Test Analyst  ,KBZ Bank,Yangon,17 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/junior-test-analyst-yangon-kbz-bank/64917
16,Senior Fraud Analyst  ,KBZ Bank,Yangon,15 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/senior-fraud-analyst-yangon-kbz-bank/67226
17,Technical Operation Support Administrator  ,KBZ Bank,Yangon,08 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/technical-operation-support-administrator-yangon-kbz-bank/67220
18,MFI Credit Underwriting Manager  ,Yoma Bank,Yangon,04 Feb 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/mfi-credit-underwriting-manager-yangon-yoma-bank/67160
19,"Business Analyst, Operations Transformation  ",Yoma Bank,Yangon,28 Jan 2022,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/business-analyst-operations-transformation-yangon-yoma-bank/66883
20,Impact Analyst  ,ONOW Myanmar Co Ltd,Yangon,09 Nov 2021,2022-04-11,Login to view Salary,https://www.jobnet.com.mm/job/impact-analyst-yangon-onow-myanmar-co-ltd/64704
